,machine,N,duration,nodes,node_scaling,co_launch,full_SC,dt,repeat,version,use_cpu,cpu_cores,init_time,run_time,first_last_equal,total_time,Hardware
51,raven,4,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,144,2.9726368,2.008143593,True,4.980780393,A100 GPU
52,raven,8,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,144,3.3952952,2.01228853,True,5.407583730000001,A100 GPU
53,raven,8,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,144,2.982943611,2.004600177,True,4.987543788,A100 GPU
54,raven,16,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,144,4.128547064,2.069189429,True,6.197736493000001,A100 GPU
55,raven,16,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,144,2.979930146,2.031617671,True,5.011547817,A100 GPU
56,raven,32,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,144,4.112809886,2.124143404,True,6.23695329,A100 GPU
57,raven,32,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,144,2.970626133,2.07044364,True,5.041069773,A100 GPU
58,raven,64,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,144,4.143316591,2.097138031,True,6.240454622,A100 GPU
59,raven,64,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,144,3.007068494,2.084255254,True,5.091323748,A100 GPU
60,raven,128,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,144,4.126509088,2.832801695,True,6.959310782999999,A100 GPU
61,raven,128,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,144,3.016919546,2.998173349,True,6.015092895,A100 GPU
62,raven,256,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,144,3.428746976,3.369808682,True,6.798555658,A100 GPU
63,raven,256,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,144,3.064120745,3.506457359,True,6.570578104,A100 GPU
64,raven,512,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,144,4.174605871,6.318292432,True,10.492898303,A100 GPU
65,raven,512,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,144,3.111349237,6.294571057,True,9.405920294,A100 GPU
66,raven,1024,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,144,4.245365851,11.599991746,True,15.845357597,A100 GPU
67,raven,1024,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,144,3.290332648,11.542994318,True,14.833326966,A100 GPU
68,raven,2048,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,144,4.355504186,21.584176336,True,25.939680522,A100 GPU
69,raven,2048,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,144,3.634366676,21.754171677,True,25.388538352999998,A100 GPU
70,raven,4096,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,144,4.587851469,41.782687224,True,46.370538693,A100 GPU
71,raven,4096,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,144,4.33038175,42.889666882,True,47.220048632,A100 GPU
72,raven,8192,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,144,4.245471892,83.21194847,True,87.457420362,A100 GPU
73,raven,8192,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,144,5.749962313,83.682779585,True,89.432741898,A100 GPU
74,raven,16384,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,144,5.451522866,164.305704262,True,169.757227128,A100 GPU
75,raven,16384,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,144,8.806150423,165.394146327,True,174.20029674999998,A100 GPU
76,raven,32768,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,False,144,7.768390724,325.950034034,True,333.71842475799997,A100 GPU
77,raven,32768,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,False,144,14.943358261,329.161028649,True,344.10438691,A100 GPU
78,raven,1,60,10,True,False,True,1.0,0,0.1.0rc1+2.g2d4c488,True,1,0.030413326,0.084942603,True,0.11535592900000001,
79,raven,1,60,10,True,False,True,1.0,1,0.1.0rc1+2.g2d4c488,True,1,0.029812474,0.082030543,True,0.11184301699999999,
80,raven,1,60,100,False,False,False,0.1,0,0.1.0rc1+2.g2d4c488,True,1,2.892755297,10.183897694,True,13.076652991,
81,raven,1,60,100,True,False,True,1.0,0,0.1.0rc1+2.g2d4c488,True,1,0.291118731,1.480496463,True,1.771615194,
82,raven,1,60,100,False,False,False,0.1,1,0.1.0rc1+2.g2d4c488,True,1,2.897372485,10.213467998,True,13.110840483,
83,raven,1,60,100,True,False,True,1.0,1,0.1.0rc1+2.g2d4c488,True,1,0.289883834,1.477889812,True,1.767773646,
84,raven,1,60,1000,True,False,True,1.0,0,0.1.0rc1+2.g2d4c488,True,1,2.895642258,108.414000155,True,111.30964241299999,
85,raven,1,60,1000,True,False,True,1.0,1,0.1.0rc1+2.g2d4c488,True,1,2.882691313,108.382212607,True,111.26490392,
